laureate_id,laureate_name,gender,award_year,category,motivation_en,affiliation_name,affiliation_city,affiliation_country,affiliation_type,count
1,Wilhelm Conrad Röntgen,male,1901,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Munich University,Munich,Germany,university,1
2,Hendrik Antoon Lorentz,male,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Leiden University,Leiden,Netherlands,university,1
3,Pieter Zeeman,male,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Amsterdam University,Amsterdam,Netherlands,university,1
4,Antoine Henri Becquerel,male,1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,École Polytechnique,Paris,France,other,1
5,Pierre Curie,male,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,university,1
6,"Marie Curie, née Skłodowska",female,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,,,,unknown,1
6,"Marie Curie, née Skłodowska",female,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",Sorbonne University,Paris,France,university,1
8,Lord Rayleigh (John William Strutt),male,1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Royal Institution of Great Britain,London,United Kingdom,government,1
9,Philipp Eduard Anton von Lenard,male,1905,Physics,for his work on cathode rays,Kiel University,Kiel,Germany,university,1
10,Joseph John Thomson,male,1906,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,University of Cambridge,Cambridge,United Kingdom,university,1
11,Albert Abraham Michelson,male,1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,University of Chicago,"Chicago, IL",United States,university,1
12,Gabriel Lippmann,male,1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference,Sorbonne University,Paris,France,university,1
13,Guglielmo Marconi,male,1909,Physics,in recognition of their contributions to the development of wireless telegraphy,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,company,1
14,Karl Ferdinand Braun,male,1909,Physics,in recognition of their contributions to the development of wireless telegraphy,Strasbourg University,Strasbourg,France,university,1
15,Johannes Diderik van der Waals,male,1910,Physics,for his work on the equation of state for gases and liquids,Amsterdam University,Amsterdam,Netherlands,university,1
16,Wilhelm Wien,male,1911,Physics,for his discoveries regarding the laws governing the radiation of heat,Würzburg University,Würzburg,Germany,university,1
17,Nils Gustaf Dalén,male,1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,Swedish Gas-Accumulator Co.,"Lidingö, Stockholm",Sweden,other,1
18,Heike Kamerlingh Onnes,male,1913,Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",Leiden University,Leiden,Netherlands,university,1
19,Max von Laue,male,1914,Physics,for his discovery of the diffraction of X-rays by crystals,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,university,1
20,Sir William Henry Bragg,male,1915,Physics,for their services in the analysis of crystal structure by means of X-rays,University College,London,United Kingdom,university,1
21,William Lawrence Bragg,male,1915,Physics,for their services in the analysis of crystal structure by means of X-rays,Victoria University,Manchester,United Kingdom,university,1
22,Charles Glover Barkla,male,1917,Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,Edinburgh University,Edinburgh,United Kingdom,university,1
23,Max Karl Ernst Ludwig Planck,male,1918,Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,Berlin University,Berlin,Germany,university,1
24,Johannes Stark,male,1919,Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,Greifswald University,Greifswald,Germany,university,1
25,Charles Edouard Guillaume,male,1920,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,other,1
26,Albert Einstein,male,1921,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,other,1
27,Niels Henrik David Bohr,male,1922,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them,Copenhagen University,Copenhagen,Denmark,university,1
28,Robert Andrews Millikan,male,1923,Physics,for his work on the elementary charge of electricity and on the photoelectric effect,California Institute of Technology (Caltech),"Pasadena, CA",United States,university,1
29,Karl Manne Georg Siegbahn,male,1924,Physics,for his discoveries and research in the field of X-ray spectroscopy,Uppsala University,Uppsala,Sweden,university,1
30,James Franck,male,1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,Goettingen University,Göttingen,Germany,university,1
31,Gustav Ludwig Hertz,male,1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,Halle University,Halle,Germany,university,1
32,Jean Baptiste Perrin,male,1926,Physics,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",Sorbonne University,Paris,France,university,1
33,Arthur Holly Compton,male,1927,Physics,for his discovery of the effect named after him,University of Chicago,"Chicago, IL",United States,university,1
34,Charles Thomson Rees Wilson,male,1927,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour,University of Cambridge,Cambridge,United Kingdom,university,1
35,Owen Willans Richardson,male,1928,Physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,London University,London,United Kingdom,university,1
36,Prince Louis-Victor Pierre Raymond de Broglie,male,1929,Physics,for his discovery of the wave nature of electrons,"Sorbonne University, Institut Henri Poincaré",Paris,France,university,1
37,Sir Chandrasekhara Venkata Raman,male,1930,Physics,for his work on the scattering of light and for the discovery of the effect named after him,Calcutta University,Calcutta,India,university,1
38,Werner Karl Heisenberg,male,1932,Physics,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",Leipzig University,Leipzig,Germany,university,1
39,Erwin Schrödinger,male,1933,Physics,for the discovery of new productive forms of atomic theory,Berlin University,Berlin,Germany,university,1
40,Paul Adrien Maurice Dirac,male,1933,Physics,for the discovery of new productive forms of atomic theory,University of Cambridge,Cambridge,United Kingdom,university,1
41,James Chadwick,male,1935,Physics,for the discovery of the neutron,Liverpool University,Liverpool,United Kingdom,university,1
42,Victor Franz Hess,male,1936,Physics,for his discovery of cosmic radiation,Innsbruck University,Innsbruck,Austria,university,1
43,Carl David Anderson,male,1936,Physics,for his discovery of the positron,California Institute of Technology (Caltech),"Pasadena, CA",United States,university,1
44,Clinton Joseph Davisson,male,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,Bell Telephone Laboratories,"New York, NY",United States,research_institute,1
45,George Paget Thomson,male,1937,Physics,for their experimental discovery of the diffraction of electrons by crystals,London University,London,United Kingdom,university,1
46,Enrico Fermi,male,1938,Physics,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",Rome University,Rome,Italy,university,1
47,Ernest Orlando Lawrence,male,1939,Physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",University of California,"Berkeley, CA",United States,university,1
48,Otto Stern,male,1943,Physics,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,Carnegie Institute of Technology,"Pittsburgh, PA",United States,university,1
49,Isidor Isaac Rabi,male,1944,Physics,for his resonance method for recording the magnetic properties of atomic nuclei,Columbia University,"New York, NY",United States,university,1
50,Wolfgang Pauli,male,1945,Physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle",Princeton University,"Princeton, NJ",United States,university,1
51,Percy Williams Bridgman,male,1946,Physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",Harvard University,"Cambridge, MA",United States,university,1
